"Impôt sur le revenu - Versement de cotisations syndicales (crédit d&#39;impôt)","Le versement de cotisations syndicales peut vous permettre de bénéficier d&#39;un crédit d&#39;impôt sur le revenu."
"Impôt sur le revenu - Pensions alimentaires versées aux enfants (déduction)","Vous pouvez déduire de vos revenus, sous certaines conditions, la pension alimentaire que vous versez pour subvenir aux besoins d&#39;un enfant non compté à charge."
"Impôt sur le revenu - Souscription cinéma ou audiovisuel (réduction d&#39;impôt)","Si vous êtes fiscalement domicilié en France, vous pouvez bénéficier d&#39;une réduction d&#39;impôt en souscrivant au capital de sociétés de financement d&#39;œuvres cinématographiques ou audiovisuelles (Sofica)."
"Impôt sur le revenu - Frais d&#39;accueil d&#39;une personne âgée (déduction)","Vous pouvez déduire de vos revenus, sous certaines conditions, une somme représentative des avantages en nature que vous consentez à certaines personnes de plus de 75 ans qui vivent à votre domicile."
"Impôt sur le revenu - Frais de garde d&#39;enfant hors du domicile (crédit d&#39;impôt)","Vous pouvez bénéficier, sous conditions, d&#39;un crédit d&#39;impôt pour les frais de garde de vos enfants ou petits enfants à charge de moins de 6 ans, en cas de garde à l&#39;extérieur du domicile."
"Impôt sur le revenu - Frais de scolarisation des enfants (réduction)","Vous pouvez bénéficier d&#39;une réduction d&#39;impôt sur le revenu, sous conditions, lorsque votre enfant à charge poursuit des études secondaires ou supérieures."
"Médaille d&#39;honneur du travail","Un salarié peut, sous conditions, recevoir la médaille d&#39;honneur du travail en récompense de l&#39;ancienneté de service et de la qualité des initiatives prises dans son travail."
"Congés dans le secteur privé","Un salarié peut, sous conditions, recevoir la médaille d&#39;honneur du travail en récompense de l&#39;ancienneté de service et de la qualité des initiatives prises dans son travail."
"Impôt sur le revenu - Crédit d&#39;impôt pour l&#39;emploi d&#39;un salarié à domicile","Si vous êtes domicilié fiscalement en France, vous pouvez bénéficier, sous conditions, d&#39;un crédit d&#39;impôt pour les sommes versées pour à un salarié employé à domicile ou pour la rémunération d&#39;un service à domicile réalisé par une association, une entreprise ou un organisme agréé."
"Validation des acquis de l&#39;expérience (VAE) ","Toute personne ayant exercé une activité professionnelle peut, sous conditions, bénéficier de la validation des acquis de l&#39;expérience (VAE). Son expérience lui permet d&#39;obtenir une certification afin d&#39;évoluer professionnellement."
"Vente d&#39;un bien immobilier situé dans une zone de préemption","Le propriétaire d&#39;un bien situé dans une zone définie par une collectivité (commune ou établissement public de coopération intercommunale) en vue de la réalisation d&#39;opérations d&#39;aménagement urbain doit, en priorité, proposer la vente de son bien à cette collectivité. C&#39;est ce que l&#39;on appelle le <span class=""expression""><em>droit de préemption</em></span>. Le propriétaire du bien n&#39;est donc pas libre de vendre son bien à l&#39;acquéreur de son choix."
"Impôt sur le revenu - Frais liés à la dépendance (réduction d&#39;impôt)","Vous pouvez bénéficier, sous conditions, d&#39;une réduction d&#39;impôt sur le revenu pour les frais engagés en établissement pour personnes dépendantes."
"Impôt sur le revenu - Primes de rente survie ou épargne handicap (réduction)","Les primes d&#39;assurance concernant les contrats de rente survie et d&#39;épargne handicap ouvrent droit, sous conditions, à une réduction d&#39;impôt sur le revenu."
"Quelles sont les conséquences d&#39;une faute grave commise pendant un préavis ?","La faute du salarié est considérée comme une faute grave dès lors qu&#39;elle résulte d&#39;une violation des obligations du salarié et rend impossible son maintien dans l&#39;entreprise."
"Cas où l&#39;employeur peut embaucher en contrat à durée déterminée (CDD)","Un contrat à durée déterminée (CDD) ne doit pas avoir pour objet de pourvoir durablement un emploi lié à l&#39;activité normale et permanente de l&#39;entreprise. Un CDD ne peut être conclu que pour l&#39;exécution d&#39;une tâche précise et temporaire."
"Mise à disposition internationale d&#39;un salarié","La mise à disposition internationale est une forme de prêt de salariés, à l’intérieur des groupes de sociétés. Elle consiste à prêter un salarié à une filiale ou à une société sœur implantée à l’étranger. Le salarié dispose de 2 contrats de travail."
"Conclusion du contrat de travail à durée déterminée (CDD)","Le contrat de travail à durée déterminée (CDD) doit être établi par écrit et comporter un certain nombre de mentions obligatoires. Il doit être transmis au salarié dans les 2 jours qui suivent l&#39;embauche. La méconnaissance de ce délai n&#39;entraîne pas, à elle seule, la requalification du CDD en CDI mais ouvre droit, pour le salarié, à une indemnité."
"Renouvellement d&#39;un contrat de travail à durée déterminée (CDD)","Un contrat à durée déterminée (CDD) peut être renouvelé par avenant sous certaines conditions. Un <abbr tabindex=""0"" data-sigle=""R2454"">CDD</abbr>n&#39;est renouvelable que 2 fois et dans la limite d&#39;une durée maximale."
"Étranger en France : visa de long séjour valant titre de séjour (VLS-TS)","Le visa de long séjour valant titre de séjour (VLS-TS) permet à certaines catégories d&#39;étrangers d&#39;entrer en France et d&#39;y séjourner de 4 mois à 1 an sans avoir à demander tout de suite un titre de séjour. Une fois en France, il faut accomplir certaines formalités auprès de l&#39;Office français de l&#39;immigration et de l&#39;intégration (Ofii) pour valider le visa."
